last_name,first_name,agency,entity_name,filed_date,schedule
"Coursey","Chris","County of Sonoma","ARC Healthcare REIT","02/28/2022","Schedule A1"
"Coursey","Chris","County of Sonoma","ARC New York REIT","02/28/2022","Schedule A1"
"Coursey","Chris","County of Sonoma","Carter Validus Mission Critical REIT","02/28/2022","Schedule A1"
"Coursey","Chris","County of Sonoma","Hewlett-Packard Co","02/28/2022","Schedule A1"
"Coursey","Chris","County of Sonoma","KBS Legacy REIT","02/28/2022","Schedule A1"
"Coursey","Chris","County of Sonoma","Medtronic Inc","02/28/2022","Schedule A1"
"Coursey","Chris","County of Sonoma","Phillips Edison REIT","02/28/2022","Schedule A1"
"Coursey","Chris","County of Sonoma","Sierra Income Corp","02/28/2022","Schedule A1"
"Coursey","Chris","County of Sonoma","Stryker Corp","02/28/2022","Schedule A1"
"Deas","Kevin","County of Sonoma","Walt Disney Co","03/15/2022","Schedule A1"
"Gore","James","County of Sonoma","Scoop","08/10/2022","Schedule A1"
"Gore","James","County of Sonoma","Portfolia Consumer Fund, LLC","08/10/2022","Schedule A1"
"Gore","James","County of Sonoma","Classy","08/10/2022","Schedule A1"
"Gorin","Susan","County of Sonoma","KEYS (Keysight Technologies Inc.)","03/08/2022","Schedule A1"
"Gorin","Susan","County of Sonoma","MFGP (Micro Focus International)","03/08/2022","Schedule A1"
"Gorin","Susan","County of Sonoma","HPE (Hewlett Packard Enterprises Company)","03/08/2022","Schedule A1"
"Gorin","Susan","County of Sonoma","PRSP (Perspecta Inc.)","03/08/2022","Schedule A1"
"Gorin","Susan","County of Sonoma","DXC (DXC Technology Co)","03/08/2022","Schedule A1"
"Gorin","Susan","County of Sonoma","HPQ (HP Inc)","03/08/2022","Schedule A1"
"Koenigshofer","Eric","County of Sonoma","Caterpiller, Inc.","02/23/2022","Schedule A1"
"Koenigshofer","Eric","County of Sonoma","Cisco Systems","02/23/2022","Schedule A1"
"Koenigshofer","Eric","County of Sonoma","Fate Therapeutics","02/23/2022","Schedule A1"
"Koenigshofer","Eric","County of Sonoma","FedEx Inc.","02/23/2022","Schedule A1"
"Koenigshofer","Eric","County of Sonoma","Ford Motor Company","02/23/2022","Schedule A1"
"Koenigshofer","Eric","County of Sonoma","General Motors Company","02/23/2022","Schedule A1"
"Ocana","Mary","County of Sonoma","Morgan Stanley","01/20/2022","Schedule A1"
"Ocana","Mary","County of Sonoma","Vanguard","01/20/2022","Schedule A1"
"Pittman","Robert","County of Sonoma","Alibaba Group Holding Limited","01/26/2022","Schedule A1"
"Pittman","Robert","County of Sonoma","UBS Financial Services, Inc.","01/26/2022","Schedule A1"
"Reed","Lawrence","County of Sonoma","Reed Gilliland Inc","01/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","Altria Group, Inc","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","Apple","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","Berkshire Hathaway Inc Com","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","CISCO","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","Coca Cola","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","Costco","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","General Mills","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","IBM","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","JP Morgan Chase Co","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","Keysight","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","Microsoft","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","Mondelez Intl Inc","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","Phillip Morris","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","Skyworks","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","Walmart","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","Bank of America","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","Disney","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","Healthpeak Properties","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","Canopy Growth Corp","03/11/2022","Schedule A1"
"Roeser","Erick","County of Sonoma","Silvercrest Metals","03/11/2022","Schedule A1"
"Coursey","Chris","County of Sonoma","Chris Coursey","02/28/2022","Schedule A-2"
"Coursey","Chris","County of Sonoma","The Coursey Family Trust","02/28/2022","Schedule A-2"
"Coursey","Chris","County of Sonoma","The Coursey Family Trust (CONTINUATION)","02/28/2022","Schedule A-2"
"Gore","James","County of Sonoma","Gore Family Vineyards","03/10/2022","Schedule A-2"
"Gore","James","County of Sonoma","Hello Alice - Elizabeth Gore (Spouse ownership)","03/10/2022","Schedule A-2"
"Gore","James","County of Sonoma","Thomas A. Gore Trust","04/01/2022","Schedule A-2"
"Gore","James","County of Sonoma","Gore Family Vineyards","04/01/2022","Schedule A-2"
"Gore","James","County of Sonoma","Hello Alice - Elizabeth Gore (Spouse Ownership)","04/01/2022","Schedule A-2"
"Gore","James","County of Sonoma","Thomas A. Gore Trust","04/01/2022","Schedule A-2"
"Gore","James","County of Sonoma","Thomas A. Gore Trust","08/10/2022","Schedule A-2"
"Gore","James","County of Sonoma","Gore Country, LLC","08/10/2022","Schedule A-2"
"Gore","James","County of Sonoma","Hello Alice","08/10/2022","Schedule A-2"
"Hopkins","Lynda","County of Sonoma","Foggy River Farm","03/08/2022","Schedule A-2"
"Hopkins","Lynda","County of Sonoma","Foggy River Farm","03/08/2022","Schedule A-2"
"Ocana","Mary","County of Sonoma","Specialized Services For Law Firms","01/20/2022","Schedule A-2"
"Pittman","Robert","County of Sonoma","North Bay Strategies, Inc.","01/09/2023","Schedule A-2"
"Reed","Lawrence","County of Sonoma","Reed Gilliland Inc","01/11/2022","Schedule A-2"
"Reed","Lawrence","County of Sonoma","Reed Gilliland Inc","01/11/2022","Schedule A-2"
"Cornwall","Caitlin","County of Sonoma","Sonoma Ecology Center","06/22/2022","Schedule C - Income Section"
"Cornwall","Caitlin","County of Sonoma","Sonoma Ecology Center","06/22/2022","Schedule C - Income Section"
"Deas","Kevin","County of Sonoma","E&M Electric and Machinery","03/15/2022","Schedule C - Income Section"
"Deas","Kevin","County of Sonoma","Deas Family LLC","03/15/2022","Schedule C - Income Section"
"Gore","James","County of Sonoma","Elizabeth Gore (Spouse)","03/10/2022","Schedule C - Income Section"
"Gore","James","County of Sonoma","James Gore","03/10/2022","Schedule C - Income Section"
"Gore","James","County of Sonoma","James Gore","03/10/2022","Schedule C - Income Section"
"Gore","James","County of Sonoma","Elizabeth Gore","04/01/2022","Schedule C - Income Section"
"Gore","James","County of Sonoma","James Gore","04/01/2022","Schedule C - Income Section"
"Gore","James","County of Sonoma","Hello Alice","08/10/2022","Schedule C - Income Section"
"Grady","Belen","County of Sonoma","North Bay Organizing Project","04/14/2022","Schedule C - Income Section"
"Grady","Belen","County of Sonoma","Gamaliel of California","04/14/2022","Schedule C - Income Section"
"Grady","Belen","County of Sonoma","State of California","04/14/2022","Schedule C - Income Section"
"Grady","Belen","County of Sonoma","Fidelity National Title Company","04/14/2022","Schedule C - Income Section"
"Hopkins","Lynda","County of Sonoma","Climate Mobilization Project","03/08/2022","Schedule C - Income Section"
"Hopkins","Lynda","County of Sonoma","Climate Mobilization Project","03/08/2022","Schedule C - Income Section"
"Koenigshofer","Eric","County of Sonoma","Law Office of Eric Koenigshofer","02/23/2022","Schedule C - Income Section"
"Ocana","Mary","County of Sonoma","Specialized Services For Law Firms","01/20/2022","Schedule C - Income Section"
"Pittman","Robert","County of Sonoma","North Bay Strategies, Inc.","01/26/2022","Schedule C - Income Section"
