last_name,first_name,agency,filed_date,schedule,entities
"Coursey","Chris","County of Sonoma","02/28/2022","Schedule A1","ARC Healthcare REIT; ARC New York REIT; Carter Validus Mission Critical REIT; Hewlett-Packard Co; KBS Legacy REIT; Medtronic Inc; Phillips Edison REIT; Sierra Income Corp; Stryker Corp"
"Deas","Kevin","County of Sonoma","03/15/2022","Schedule A1","Walt Disney Co"
"Gore","James","County of Sonoma","08/10/2022","Schedule A1","Scoop; Portfolia Consumer Fund, LLC; Classy"
"Gorin","Susan","County of Sonoma","03/08/2022","Schedule A1","KEYS (Keysight Technologies Inc.); MFGP (Micro Focus International); HPE (Hewlett Packard Enterprises Company); PRSP (Perspecta Inc.); DXC (DXC Technology Co); HPQ (HP Inc)"
"Koenigshofer","Eric","County of Sonoma","02/23/2022","Schedule A1","Caterpiller, Inc.; Cisco Systems; Fate Therapeutics; FedEx Inc.; Ford Motor Company; General Motors Company"
"Ocana","Mary","County of Sonoma","01/20/2022","Schedule A1","Morgan Stanley; Vanguard"
"Pittman","Robert","County of Sonoma","01/26/2022","Schedule A1","Alibaba Group Holding Limited; UBS Financial Services, Inc."
"Reed","Lawrence","County of Sonoma","01/11/2022","Schedule A1","Reed Gilliland Inc"
"Roeser","Erick","County of Sonoma","03/11/2022","Schedule A1","Altria Group, Inc; Apple; Berkshire Hathaway Inc Com; CISCO; Coca Cola; Costco; General Mills; IBM; JP Morgan Chase Co; Keysight; Microsoft; Mondelez Intl Inc; Phillip Morris; Skyworks; Walmart; Bank of America; Disney; Healthpeak Properties; Canopy Growth Corp; Silvercrest Metals"
"Coursey","Chris","County of Sonoma","02/28/2022","Schedule A-2","Chris Coursey; The Coursey Family Trust; The Coursey Family Trust (CONTINUATION)"
"Gore","James","County of Sonoma","03/10/2022","Schedule A-2","Gore Family Vineyards; Hello Alice - Elizabeth Gore (Spouse ownership)"
"Gore","James","County of Sonoma","04/01/2022","Schedule A-2","Thomas A. Gore Trust; Gore Family Vineyards; Hello Alice - Elizabeth Gore (Spouse Ownership)"
"Gore","James","County of Sonoma","08/10/2022","Schedule A-2","Thomas A. Gore Trust; Gore Country, LLC; Hello Alice"
"Hopkins","Lynda","County of Sonoma","03/08/2022","Schedule A-2","Foggy River Farm"
"Ocana","Mary","County of Sonoma","01/20/2022","Schedule A-2","Specialized Services For Law Firms"
"Pittman","Robert","County of Sonoma","01/09/2023","Schedule A-2","North Bay Strategies, Inc."
"Reed","Lawrence","County of Sonoma","01/11/2022","Schedule A-2","Reed Gilliland Inc"
"Cornwall","Caitlin","County of Sonoma","06/22/2022","Schedule C - Income Section","Sonoma Ecology Center"
"Deas","Kevin","County of Sonoma","03/15/2022","Schedule C - Income Section","E&M Electric and Machinery; Deas Family LLC"
"Gore","James","County of Sonoma","03/10/2022","Schedule C - Income Section","Elizabeth Gore (Spouse); James Gore"
"Gore","James","County of Sonoma","04/01/2022","Schedule C - Income Section","Elizabeth Gore; James Gore"
"Gore","James","County of Sonoma","08/10/2022","Schedule C - Income Section","Hello Alice"
"Grady","Belen","County of Sonoma","04/14/2022","Schedule C - Income Section","North Bay Organizing Project; Gamaliel of California; State of California; Fidelity National Title Company"
"Hopkins","Lynda","County of Sonoma","03/08/2022","Schedule C - Income Section","Climate Mobilization Project"
"Koenigshofer","Eric","County of Sonoma","02/23/2022","Schedule C - Income Section","Law Office of Eric Koenigshofer"
"Ocana","Mary","County of Sonoma","01/20/2022","Schedule C - Income Section","Specialized Services For Law Firms"
"Pittman","Robert","County of Sonoma","01/26/2022","Schedule C - Income Section","North Bay Strategies, Inc."
"Rabbitt","David","County of Sonoma","03/01/2022","Schedule C - Income Section","Association of Bay Area Governments; CA Alfred E. Alquist Seismic Safety Commission; Golden Gate Bridge Highway Transportation District; Metropolitan Transportation Commission; Sonoma-Marin Area Rail Transit"
"Roeser","Erick","County of Sonoma","03/11/2022","Schedule C - Income Section","Untitled Labs Inc; Howroyd Wright Employment Agency, Inc"
